Variable,Coeff
"poly(SOLAR_RADIATION, 14)6",21.44600395
VISIBILITY,32.71824321
"poly(DEW_POINT_TEMPERATURE, 12)9",38.87667831
"poly(TEMPERATURE, 16)15",42.11832217
RAINFALL,53.28852653
`18`,67.42434623
HOLIDAY,89.66070591
"poly(SOLAR_RADIATION, 14)9",114.5979759
"poly(TEMPERATURE, 16)13",133.3735191
"poly(SOLAR_RADIATION, 14)10",135.4492239
"poly(RAINFALL, 12)12",136.7602151
"poly(DEW_POINT_TEMPERATURE, 12)12",149.0073894
`20`,163.0931056
`11`,165.7298987
"poly(HUMIDITY, 12)3",166.9921257
"poly(SOLAR_RADIATION, 14)12",180.5357357
"poly(SOLAR_RADIATION, 14)11",187.1515351
"poly(TEMPERATURE, 16)16",194.0022403
"poly(HUMIDITY, 12)8",204.7495309
SPRING,204.9422774
`3`,207.0774214
"poly(TEMPERATURE, 16)11",212.4169131
`10`,220.4243621
`5`,260.5330582
"poly(RAINFALL, 12)11",286.2412178
SUMMER,288.7446959
`4`,290.9048097
"poly(SOLAR_RADIATION, 14)13",294.0892412
"poly(SOLAR_RADIATION, 14)8",296.1052752
"poly(SOLAR_RADIATION, 14)14",333.161978
"poly(HUMIDITY, 12)10",333.6046473
"poly(TEMPERATURE, 16)5",339.2018659
`17`,344.4654543
AUTUMN,347.5227075
"poly(TEMPERATURE, 16)9",357.9842423
"poly(DEW_POINT_TEMPERATURE, 12)7",374.6538615
`8`,408.3404165
`22`,435.328481
"poly(HUMIDITY, 12)5",447.8725138
"poly(HUMIDITY, 12)12",509.1176682
"poly(TEMPERATURE, 16)2",513.9809315
"poly(SOLAR_RADIATION, 14)7",520.7080364
"poly(DEW_POINT_TEMPERATURE, 12)4",527.4857831
`19`,550.7576092
`21`,557.1641632
"poly(HUMIDITY, 12)9",612.9993518
TEMPERATURE:SOLAR_RADIATION,625.3033848
"poly(RAINFALL, 12)10",664.2083455
"poly(HUMIDITY, 12)11",673.4826634
"poly(TEMPERATURE, 16)8",738.5653151
"poly(HUMIDITY, 12)6",759.8538816
SOLAR_RADIATION:`18`,804.2059884
"poly(TEMPERATURE, 16)14",820.3183493
"poly(DEW_POINT_TEMPERATURE, 12)8",891.4593315
"poly(DEW_POINT_TEMPERATURE, 12)5",903.3818005
"poly(DEW_POINT_TEMPERATURE, 12)6",910.2934633
"poly(HUMIDITY, 12)7",922.5034911
"poly(DEW_POINT_TEMPERATURE, 12)2",951.2909831
"poly(DEW_POINT_TEMPERATURE, 12)11",952.1759623
"poly(TEMPERATURE, 16)12",970.7988437
TEMPERATURE:`18`,1098.114559
"poly(TEMPERATURE, 16)10",1118.43603
"poly(RAINFALL, 12)9",1128.267697
"poly(TEMPERATURE, 16)7",1152.472948
"poly(DEW_POINT_TEMPERATURE, 12)10",1236.375266
"poly(DEW_POINT_TEMPERATURE, 12)3",1286.806866
TEMPERATURE:`20`,1309.042914
(Intercept),1501.178235
"poly(RAINFALL, 12)8",1513.1283
"poly(HUMIDITY, 12)4",1669.523196
"poly(RAINFALL, 12)7",1875.167725
"poly(RAINFALL, 12)6",1894.814552
"poly(RAINFALL, 12)3",1946.545913
"poly(TEMPERATURE, 16)6",1981.083431
"poly(SOLAR_RADIATION, 14)5",2017.168594
"poly(SOLAR_RADIATION, 14)4",2021.242213
"poly(RAINFALL, 12)5",2091.51416
HUMIDITY:DEW_POINT_TEMPERATURE,2402.452164
"poly(RAINFALL, 12)4",2458.568502
"poly(SOLAR_RADIATION, 14)3",3140.578127
RAINFALL:HUMIDITY,3159.556555
"poly(RAINFALL, 12)2",3695.928882
"poly(DEW_POINT_TEMPERATURE, 12)1",4262.854331
"poly(SOLAR_RADIATION, 14)2",5832.455227
HUMIDITY:TEMPERATURE,5841.393651
"poly(TEMPERATURE, 16)4",6425.907237
"poly(HUMIDITY, 12)2",7059.927774
RAINFALL:TEMPERATURE,7724.941212
"poly(HUMIDITY, 12)1",8356.599812
"poly(TEMPERATURE, 16)3",11373.68901
"poly(SOLAR_RADIATION, 14)1",11445.65122
"poly(TEMPERATURE, 16)1",59042.74123
